slug,title,description,type,cuisine,difficulty,prep_minutes,cook_minutes,total_minutes,serving_count,average_calories,ingredients,ingredient_count,steps,step_count,allergens,tags,tipNote,servingSuggestion
hush-puppies,Hush Puppies,"Güney ABD mutfağının kızarmış mısır unlu topları, balık tabaklarının yanında sıklıkla yer bulur.",ATISTIRMALIK,us,EASY,10,15,25,6,243,Mısır unu 1 su bardağı | Un 0.5 su bardağı | Yumurta 1 adet | Ayran 0.75 su bardağı | Ayçiçek yağı 2 su bardağı,5,1. Kuru malzemeleri karıştırıp yumurta ve ayranı ekleyin. || 2. Hamurdan kaşıkla parçalar alıp kızgın yağa bırakın. || 3. 3-4 dakika altın rengi olana kadar kızartın.,3,"GLUTEN,SUT,YUMURTA","misafir-sofrasi,vejetaryen",Hamuru çok sert bırakmayın; kaşıktan ağır ağır düşen kıvam kızarınca içini yumuşak tutar.,Yanına ballı tereyağı veya tartar sos koyarak servis edin.
ic-pilav,İç Pilav,"Kuş üzümü, çam fıstığı ve baharatla hazırlanan klasik davet pilavı.",YEMEK,tr,MEDIUM,15,25,40,6,330,Pirinç 2 su bardağı | Tereyağı 3 yemek kaşığı | Soğan 1 adet | Çam fıstığı 3 yemek kaşığı | Kuş üzümü 3 yemek kaşığı | Yenibahar 1 çay kaşığı | Sıcak su 3 su bardağı,7,"1. Soğan ve çam fıstığını tereyağında 5 dakika kavurun. || 2. Pirinci ekleyip 3 dakika kavurun. || 3. Kuş üzümü, yenibahar ve sıcak suyu ekleyip 15 dakika pişirin. || 4. Pilavı 10 dakika dinlendirin.",4,"SUT,KUSUYEMIS","vejetaryen,misafir-sofrasi",Pirinci sıcak tuzlu suda bekletip yıkayın; pilav taneli pişer.,"Hindi, tavuk veya zeytinyağlı sarma yanında servis edin."
icli-kofte,İçli Köfte,"Güneydoğu'nun ince bulgurlu dışı, cevizli kıyma harcıyla doldurulup kızartılan emek isteyen köftesi.",YEMEK,tr,HARD,75,25,100,8,360,İnce bulgur 2 su bardağı — Dış harç için | İrmik 0.5 su bardağı — Dış harç için | Dana kıyma 300 gr — İç harç için | Soğan 2 adet — İç harç için | Ceviz 0.75 su bardağı — İç harç için,5,"1. Bulgur ve irmiği 15 dakika sıcak suyla bekletin. || 2. Kıyma, soğan ve cevizi 15 dakika kavurun. || 3. Dış harcı 10 dakika yoğurun. || 4. Köfteleri doldurup 6-8 dakika kızartın.",4,"GLUTEN,KUSUYEMIS",misafir-sofrasi,Dış hamuru avuçta çatlamadan açılana kadar yoğurun; çatlaklar kızartmada açılır.,Limon ve maydanozla sıcak servis edin.
igdir-bozbas,Iğdır Bozbaş,"Iğdır bozbaşı kuzu eti, nohut ve patatesle sade ama güçlü bir Doğu Anadolu tenceresidir.",YEMEK,tr,MEDIUM,25,100,125,6,390,Kuzu kuşbaşı 800 gr | Nohut 1 su bardağı | Patates 3 adet | Soğan 1 adet,4,1. Kuzu eti ve nohudu 70 dakika pişirin. || 2. Patates ve soğanı ekleyin. || 3. Yemeği 30 dakika daha pişirin.,3,,tek-tencere,,
ihlamur,Ihlamur,"Ihlamur çiçeği, limon ve balla hazırlanan yumuşak bitki çayı.",ICECEK,tr,EASY,5,10,15,2,30,Ihlamur 2 yemek kaşığı | Sıcak su 2 su bardağı | Bal 2 tatlı kaşığı | Limon 2 dilim,4,1. Ihlamuru demliğe alın. || 2. Sıcak suyu ekleyip 8-10 dakika demleyin. || 3. Bal ve limonla servis edin.,3,,"alkolsuz,kis-tarifi,vejetaryen",Ihlamuru kaynatmayın; sıcak suda demlemek kokusunu korur.,Limon dilimiyle sıcak servis edin.
ihlamur-balli-sicak-icecek,Ihlamur Ballı Sıcak İçecek,Ihlamurun yumuşak kokusu bal ve limonla birleşince kış akşamlarında sade bir rahatlık sunar.,ICECEK,tr,EASY,3,7,10,2,45,Ihlamur 2 tutam | Su 500 ml | Bal 2 tatlı kaşığı | Limon suyu 1 yemek kaşığı,4,1. Suyu kaynatıp ıhlamuru ekleyin. || 2. Demlenmesi için 6 dakika bekletin. || 3. Süzüp bal ve limon suyunu ekleyin.,3,,"alkolsuz,30-dakika-alti,vejetaryen","Balı kaynayan suya değil, 2 dakika dinlenmiş içeceğe ekleyin; aroması daha iyi kalır.",İnce limon dilimiyle sıcak servis edin.
imam-bayildi,İmam Bayıldı,"Zeytinyağlı Türk mutfağının en sevilen yemeklerinden, soğuk servis edilir.",YEMEK,tr,MEDIUM,20,40,60,4,200,Patlıcan 4 adet | Soğan 3 adet | Domates 3 adet | Sarımsak 4 diş | Zeytinyağı 1/2 su bardağı | Tuz | Şeker | Maydanoz,8,"1. Patlıcanları alacalı soyun, yarın ve tuzlu suda bekletin. || 2. Soğanları halka kesin, zeytinyağında kavurun. || 3. Domatesleri rendeleyin, sarımsakla ekleyin. || 4. Patlıcanları tepsiye dizin, harcı doldurun. || 5. Üzerine sıcak su ekleyin, 180°C fırında 40 dk pişirin.",5,,"vegan,misafir-sofrasi,vejetaryen",,
irmik-helvasi,İrmik Helvası,Tereyağında kavrulan irmiğin sütlü şerbetle buluştuğu klasik helva.,TATLI,tr,MEDIUM,10,25,35,6,460,İrmik 2 su bardağı | Tereyağı 125 gr | Süt 2 su bardağı | Şeker 1.5 su bardağı | Çam fıstığı 2 yemek kaşığı,5,1. Süt ve şekeri küçük tencerede ısıtıp şekeri eritin. || 2. Tereyağında irmik ve çam fıstığını 15 dakika kavurun. || 3. Sütlü karışımı ekleyip kapağı kapalı şekilde 10 dakika dinlendirin.,3,"GLUTEN,SUT,KUSUYEMIS",vejetaryen,İrmiği orta ateşte sürekli karıştırarak kavurun; rengi eşit döner.,Dondurma veya tarçınla servis edin.
isirgan-corbasi-ordu-usulu,Isırgan Çorbası,"Ordu usulü ısırgan çorbası, yeşil otun mısır unu ve sütle yumuşatıldığı hafif ama aromatik bir Karadeniz çorbasıdır.",CORBA,tr,EASY,15,25,40,4,172,Isırgan otu 300 gr | Mısır unu 3 yemek kaşığı | Süt 250 ml | Tereyağı 25 gr | Tuz 0.5 çay kaşığı,5,"1. Isırganı 3 dakika haşlayıp ince doğrayın. || 2. Mısır ununu sütle açıp tencereye alın. || 3. Isırgan, tereyağı ve tuzu ekleyip çorbayı 12 dakika pişirin.",3,SUT,"vejetaryen,kis-tarifi","Isırganı kısa süre haşlamak, çorbanın rengini canlı tutar.",Üzerine tereyağı gezdirerek sıcak servis edin.
iskembe-corbasi,İşkembe Çorbası,"Haşlanmış işkembe, sarımsaklı sirke ve terbiyeyle hazırlanan geleneksel çorba.",CORBA,tr,HARD,30,120,150,6,240,Dana işkembe 1 kg | Su 8 su bardağı | Yoğurt 1 su bardağı — Terbiye için | Yumurta sarısı 1 adet — Terbiye için | Un 2 yemek kaşığı — Terbiye için | Sarımsak 4 diş | Sirke 4 yemek kaşığı | Tuz 1.5 tatlı kaşığı,8,"1. İşkembeyi suyla birlikte 100-110 dakika yumuşayana kadar haşlayın. || 2. Yoğurt, yumurta sarısı ve unu çırpıp sıcak çorba suyuyla ılıtın. || 3. Doğranmış işkembe ve terbiyeyi tencereye ekleyip 10 dakika kaynatın.",3,"GLUTEN,SUT,YUMURTA","kis-tarifi,yuksek-protein",Terbiyeyi sıcak çorba suyuyla ılıtıp tencereye ekleyin; yumurta kesilmez.,Sarımsaklı sirke ve pul biberli yağla servis edin.
iskender-kebap,İskender Kebap,"Bursa'nın meşhur İskender kebabı. İnce dilimlenmiş döner eti, tereyağlı domates sosu ve yoğurt ile servis edilir.",YEMEK,tr,HARD,30,30,60,4,520,Kuzu eti (ince dilim) 600 gr | Pide ekmeği 2 adet | Süzme yoğurt 300 gr | Domates 4 adet | Tereyağı 80 gr | Biber salçası 1 yemek kaşığı | Tuz 1 çay kaşığı | Karabiber 0.5 çay kaşığı,8,"1. Domatesleri rendeleyin. Bir tencerede salça ile birlikte kaynatın, tuz ekleyin. || 2. Pideleri küçük parçalara bölün, servis tabağına dizin. || 3. Et dilimlerini yüksek ateşte 2-3 dakika soteleyin. || 4. Pide üzerine eti yerleştirin, domates sosunu gezdirin. || 5. Yoğurdu yan tarafa koyun. Kızgın tereyağını üzerine gezdirin.",5,"GLUTEN,SUT","misafir-sofrasi,yuksek-protein","Tereyağını en son kızgın şekilde üzerine gezdirin, cızırdaması önemli.",Közlenmiş yeşil biber ve domates ile servis edin.
ispanak-yemegi,Ispanak Yemeği,"Ispanak, pirinç ve soğanla hazırlanan hafif ve besleyici zeytinyağlı yemek.",YEMEK,tr,EASY,20,25,45,4,180,Ispanak 1 kg | Soğan 1 adet | Pirinç 3 yemek kaşığı | Domates salçası 1 yemek kaşığı | Zeytinyağı 3 yemek kaşığı | Sıcak su 1 su bardağı | Tuz 1 tatlı kaşığı | Karabiber 0.5 çay kaşığı,8,"1. Ispanağı yıkayıp süzün ve iri doğrayın. || 2. Soğanı zeytinyağında 5 dakika kavurun. || 3. Salçayı ekleyip 2 dakika karıştırın. || 4. Ispanak, pirinç, sıcak su ve baharatları ekleyin. || 5. Kısık ateşte pirinç yumuşayana kadar 20-25 dakika pişirin.",5,,"vegan,butce-dostu,tek-tencere,vejetaryen",Ispanağı bol suda birkaç kez yıkayın; sap diplerinde kalan kum yemeğin dokusunu bozar.,Yoğurt ve pul biberle servis edin.
ispanakli-borek,Ispanaklı Börek,Ispanak ve peynirli iç harçla hazırlanan çıtır fırın böreği.,YEMEK,tr,MEDIUM,35,35,70,8,360,Yufka 5 adet | Ispanak 700 gr | Beyaz peynir 200 gr | Soğan 1 adet | Yumurta 1 adet | Yoğurt 1 çay bardağı | Sıvı yağ 0.5 çay bardağı,7,"1. Soğan ve ıspanağı 8 dakika kavurup soğutun. || 2. Ispanak, peynir, yoğurt, yumurta ve yağı yufkaların arasına paylaştırın. || 3. Böreği 180°C fırında 30-35 dakika pişirin.",3,"GLUTEN,SUT,YUMURTA","vejetaryen,firinda",Ispanağı kavurduktan sonra suyunu süzün; böreğin tabanı hamur kalmaz.,Yoğurt ve çayla servis edin.
ispanakli-muzlu-smoothie,Ispanaklı Muzlu Smoothie,"Kahvaltıya yeşil bir başlangıç; muz tatlılığı ıspanağı yumuşatır, yoğurt gövde verir.",ICECEK,tr,EASY,5,0,5,2,180,Ispanak 80 gr | Muz 2 adet | Yoğurt 200 gr | Süt 200 ml | Bal 1 tatlı kaşığı,5,1. Tüm malzemeleri blendera alın. || 2. 60 saniye karıştırın. || 3. Bekletmeden servis edin.,3,SUT,"vejetaryen,30-dakika-alti,pratik",Ispanak saplarını ayıklayın; içim daha pürüzsüz olur.,Kahvaltıda yulafla birlikte servis edin.
izmir-boyoz,İzmir Boyoz,"İzmir boyozu, yağla katlanan ince hamurun fırında kabarıp çıtırlaştığı sade bir kahvaltı klasiğidir.",KAHVALTI,tr,HARD,80,25,105,8,290,Un 600 gr | Su 320 ml | Ayçiçek yağı 180 ml | Tuz 1 tatlı kaşığı,4,"1. Un, su ve tuzla elastik hamur yoğurun. || 2. Hamuru yağlayıp 30 dakika dinlendirin. || 3. Parçaları katlayıp 200°C fırında 25 dakika pişirin.",3,GLUTEN,"vegan,vejetaryen",Hamuru yağladıktan sonra 30 dakika dinlendirin; katlar yırtılmadan açılır.,Haşlanmış yumurta ve demli çayla sıcak servis edin.
izmir-kofte,İzmir Köfte,"Köfte, patates ve domates sosunun fırında birlikte piştiği klasik Ege yemeği.",YEMEK,tr,MEDIUM,30,45,75,4,520,Dana kıyma 500 gr | Soğan 1 adet | Yumurta 1 adet | Galeta unu 3 yemek kaşığı | Patates 4 adet | Domates 3 adet | Yeşil biber 4 adet | Zeytinyağı 3 yemek kaşığı | Tuz 1 tatlı kaşığı,9,"1. Kıyma, rendelenmiş soğan, yumurta, galeta unu ve tuzu 5 dakika yoğurun. || 2. Köfte, patates ve biberleri fırın kabına sırayla dizin. || 3. Rendelenmiş domates ve zeytinyağını ekleyip 190°C fırında 40-45 dakika pişirin.",3,"GLUTEN,YUMURTA","firinda,cocuk-dostu,misafir-sofrasi",Köfteleri fırına vermeden önce 10 dakika dinlendirin; şekilleri pişerken daha iyi korunur.,Pirinç pilavı ve cacıkla servis edin.
jalapeno-poppers,Jalapeno Poppers,İçi krem peynirli jalapeno biberleri fırında kızarınca acı ve kremamsı dengeyi tek lokmada kurar.,ATISTIRMALIK,us,MEDIUM,18,18,36,6,190,Jalapeno biber 12 adet | Krem peynir 180 gr | Cheddar 60 gr | Galeta unu 2 yemek kaşığı,4,1. Biberleri ortadan kesip çekirdeklerini çıkarın. || 2. Peynir karışımıyla doldurup üstüne galeta unu serpin. || 3. 200°C fırında 18 dakika pişirin.,3,"GLUTEN,SUT","misafir-sofrasi,vejetaryen",Biberlerin çekirdeklerini temizlerken eldiven kullanın; acı elde uzun kalır.,Üzerine ince kıyılmış taze soğan serperek servis edin.
jambalaya,Jambalaya,"New Orleans jambalaya pirinç, tavuk, sucuk ve baharatı tek tencerede canlı bir Güney tabağına çevirir.",YEMEK,us,MEDIUM,25,40,65,6,520,Pirinç 2 su bardağı | Tavuk but 500 gr | Dana sucuk 250 gr | Kereviz sapı 2 dal,4,"1. Tavuk ve sucuğu tencerede 8 dakika kavurun. || 2. Pirinç, sebze ve baharatı ekleyin. || 3. Tavuk suyuyla 30 dakika pişirin.",3,KEREVIZ,tek-tencere,,
japchae,Japchae,"Kore cam eriştesi, sebze ve susam yağıyla parlak, hafif tatlı-tuzlu bir tavada hazırlanır.",YEMEK,kr,MEDIUM,25,20,45,4,350,Tatlı patates nişastası eriştesi 300 gr | Ispanak 250 gr | Havuç 1 adet | Mantar 200 gr | Soya sosu 4 yemek kaşığı | Susam yağı 2 yemek kaşığı,6,"1. Erişteyi 7 dakika haşlayıp süzün. || 2. Sebzeleri tavada 8 dakika soteleyin. || 3. Erişte, sebze, soya sosu ve susam yağını karıştırın.",3,"SOYA,SUSAM","vegan,vejetaryen",Erişteyi süzdükten sonra susam yağıyla karıştırın; birbirine yapışmaz.,Ilık veya oda sıcaklığında servis edin.
jeyuk-bokkeum,Jeyuk Bokkeum,"Jeyuk bokkeum, gochujanglı acı marinasyonla tavada hızlı pişen Kore usulü et yemeğidir.",YEMEK,kr,MEDIUM,35,15,50,4,430,Dana eti 700 gr | Gochujang 2 yemek kaşığı — Marine için | Soya sosu 2 yemek kaşığı — Marine için | Susam yağı 1 yemek kaşığı — Marine için,4,1. Eti marinasyonla 30 dakika bekletin. || 2. Eti yüksek ateşte 15 dakika soteleyin. || 3. Susam ve taze soğanla servis edin.,3,"SOYA,SUSAM",yuksek-protein,Eti ince dilimleyin ve tavayı kalabalık doldurmayın; sote sulanmaz.,"Marul yaprakları, pirinç ve kimchi ile servis edin."
jjajangmyeon,Jjajangmyeon,"Kore siyah fasulye soslu noodleı, sebze ve etle koyu parlak bir sos içinde servis edilir.",YEMEK,kr,MEDIUM,25,25,50,4,520,Noodle 400 gr | Siyah fasulye ezmesi 4 yemek kaşığı | Dana eti 300 gr | Kabak 1 adet,4,1. Et ve sebzeleri 8 dakika soteleyin. || 2. Siyah fasulye ezmesini ekleyip 10 dakika pişirin. || 3. Sosu haşlanmış noodle üzerine dökün.,3,"GLUTEN,SOYA",misafir-sofrasi,,
jokai-bableves,Jókai Bableves,"Macar fasulye çorbası Jókai bableves, paprika ve sebzeyle koyu ama kaşık kaşık içilen bir kış çorbasıdır.",CORBA,hu,MEDIUM,15,45,60,4,267,Haşlanmış kuru fasulye 400 gr | Havuç 1 adet | Patates 1 adet | Tatlı kırmızı biber 1 yemek kaşığı | Soğan 1 adet | Tuz 1 çay kaşığı | Sıvı yağ 2 yemek kaşığı,7,1. Soğanı yağda 4 dakika çevirip kırmızı biberi ekleyin. || 2. Sebzeleri ve fasulyeyi ekleyip 25 dakika pişirin. || 3. Tuzunu ayarlayıp servis edin.,3,,"kis-tarifi,tek-tencere,vejetaryen,vegan",Fasulyeyi çok ezmeden pişirin; çorbanın gövdesi sebzeden gelsin.,Yanına köy ekmeğiyle sıcak servis edin.
kaak-bi-simsim,Ka'ak bi Simsim,"Susamlı halka kurabiye ka'ak bi simsim, Orta Doğu mutfaklarında kahve yanına uzanan kıtır bir atıştırmalıktır.",ATISTIRMALIK,me,MEDIUM,20,20,40,10,248,Un 3 su bardağı | Tereyağı 125 gr | Şeker 0.5 su bardağı | Susam 0.75 su bardağı,4,"1. Un, tereyağı ve şekeri ufalayarak karıştırın. || 2. Hamura halka şekli verip susama bulayın. || 3. 180°C fırında 18-20 dakika pişirin.",3,"GLUTEN,SUT,SUSAM","misafir-sofrasi,vejetaryen",Hamuru uzun yoğurmayın; sertleşirse fırında gevrek değil kuru olur.,Kahvenin yanında oda sıcaklığında servis edin.
kabak-boranisi-gaziantep-usulu,Kabak Boranisi,"Gaziantep kabak boranisi, kabak ve yoğurdu naneli yağla bir araya getiren hafif ve serin bir tencere yemeğidir.",YEMEK,tr,EASY,15,20,35,4,164,Kabak 4 adet | Yoğurt 300 gr | Sarımsak 2 diş | Nane 1 tatlı kaşığı | Zeytinyağı 2 yemek kaşığı,5,"1. Kabukları alınmış kabağı iri küp doğrayın. || 2. Kabağı zeytinyağında 12 dakika yumuşayana kadar pişirin. || 3. Yoğurt, sarımsak ve nane ile birleştirip ılık servis edin.",3,SUT,"vejetaryen,yaz-tarifi",Kabağı fazla öldürmeden pişirin; yoğurtla birleşince kendini taşıması gerekir.,Üzerine nane ve sarımsaklı yoğurtla servis edin.
kabak-cicegi-dolmasi,Kabak Çiçeği Dolması,"Ege yaz sofralarının kabak çiçekleri pirinçli içle doldurulur, zeytinyağında nazikçe pişer.",YEMEK,tr,HARD,45,25,70,6,220,Kabak çiçeği 24 adet | Pirinç 1 su bardağı | Soğan 2 adet | Zeytinyağı 80 ml,4,1. Kabak çiçeklerini yıkayıp iç kısımlarını temizleyin. || 2. Pirinçli iç hazırlayıp çiçekleri doldurun. || 3. Tencerede 25 dakika pişirin.,3,,"vegan,yaz-tarifi,vejetaryen",,
kabak-cipsi,Kabak Cipsi,İnce kabak dilimlerinin fırında çıtırlaştırıldığı hafif atıştırmalık.,APERATIF,tr,EASY,15,30,45,4,160,Kabak 3 adet | Zeytinyağı 2 yemek kaşığı | Mısır unu 0.5 su bardağı | Parmesan peyniri 0.5 su bardağı | Toz kırmızı biber 1 çay kaşığı | Tuz 0.5 çay kaşığı,6,"1. Kabakları ince halkalar halinde dilimleyip kurulayın. || 2. Dilimleri zeytinyağı, mısır unu, parmesan, biber ve tuzla kaplayın. || 3. Kabakları tek sıra dizip 180°C fırında 25-30 dakika pişirin.",3,SUT,"vejetaryen,firinda",Kabak dilimlerini kağıt havluyla kurulayın; kuru yüzey daha çıtır pişer.,Yoğurtlu dip sosla servis edin.
kabak-dolmasi,Kabak Dolması,Oyulmuş kabakların pirinçli kıymalı harçla doldurulduğu ev usulü tencere yemeği.,YEMEK,tr,MEDIUM,35,40,75,5,300,Kabak 10 adet | Dana kıyma 250 gr | Pirinç 1 su bardağı | Soğan 1 adet | Domates salçası 1 yemek kaşığı | Maydanoz 0.5 demet | Zeytinyağı 3 yemek kaşığı | Tuz 1.5 tatlı kaşığı | Kuru nane 1 tatlı kaşığı,9,"1. Kabakların içini oyun ve ağız kısımlarını düz kesin. || 2. Kıyma, yıkanmış pirinç, rendelenmiş soğan, salça, maydanoz, zeytinyağı, tuz ve naneyi karıştırın. || 3. Kabakları harçla doldurun ve tencereye dik yerleştirin. || 4. Kabakların yarısına gelecek kadar sıcak su ekleyin. || 5. Kapağı kapalı şekilde kısık ateşte 35-40 dakika pişirin.",5,,"misafir-sofrasi,butce-dostu",Kabakları tamamen doldurmayın; pirinç pişerken şişeceği için üstte 1 cm boşluk bırakın.,Sarımsaklı yoğurtla ılık servis edin.
kabak-kalye,Kabak Kalye,"Kabak, nohut ve domatesin zeytinyağıyla piştiği hafif Ege yemeği.",YEMEK,tr,EASY,15,30,45,5,210,Kabak 5 adet | Haşlanmış nohut 1 su bardağı | Soğan 1 adet | Domates 2 adet | Zeytinyağı 0.5 çay bardağı | Dereotu 0.25 demet,6,"1. Soğanı zeytinyağında 4 dakika kavurun. || 2. Kabak, domates ve nohudu ekleyin. || 3. Yemeği 25-30 dakika kısık ateşte pişirip dereotu ekleyin.",3,,"vegan,tek-tencere,vejetaryen",Kabakları iri doğrayın; kısık ateşte dağılmadan pişer.,Dereotu ve limonla ılık servis edin.
kabak-mucver-lokmalari,Kabak Mücver Lokmaları,"Küçük porsiyon mücverler dışı kızarık, içi otlu kalınca çay saatine rahat taşınan bir atıştırmalık olur.",ATISTIRMALIK,tr,EASY,15,20,35,5,185,Kabak 3 adet | Un 4 yemek kaşığı | Yumurta 2 adet | Beyaz peynir 80 gr,4,1. Kabağı rendeleyip avuç içinde iki kez sıkarak suyunu alın. || 2. Diğer malzemelerle karıştırıp küçük parçalar halinde tepsiye koyun. || 3. 200°C fırında 20 dakika pişirin.,3,"GLUTEN,YUMURTA,SUT","vejetaryen,misafir-sofrasi",Rendelenmiş kabağın suyunu sıkmadan karışıma geçmeyin; lokmalar yayılır.,Sarımsaklı yoğurtla birlikte ılık servis edin.
kabak-mucveri,Kabak Mücveri,"Rendelenmiş kabak, yumurta ve unla hazırlanan çıtır mücverler.",YEMEK,tr,EASY,15,15,30,4,180,Kabak 3 adet | Yumurta 2 adet | Un 4 yemek kaşığı | Dereotu 1 demet | Beyaz peynir 80 gr | Tuz 1 çay kaşığı | Karabiber 0.5 çay kaşığı | Sıvı yağ 4 yemek kaşığı,8,"1. Kabakları rendeleyin, tuzlayıp 10 dk bekletin, suyunu sıkın. || 2. Yumurta, un, doğranmış dereotu ve ufalanmış peyniri ekleyip karıştırın. || 3. Kaşık kaşık alıp kızgın yağda her iki tarafını kızartın.",3,"GLUTEN,SUT,YUMURTA","vejetaryen,30-dakika-alti,pratik","Kabağın suyunu çok iyi sıkın, gevrek olması için şart.",Haydari veya yoğurt ile servis edin.
kabak-tatlisi,Kabak Tatlısı,"Anadolu'nun sade kış tatlısı, bal kabağının şekerle suyunu salıp yavaşça yumuşamasıyla hazırlanır.",TATLI,tr,EASY,20,50,70,6,190,Bal kabağı 1 kg | Şeker 2 su bardağı | Tahin 4 yemek kaşığı | Ceviz 0.5 su bardağı,4,1. Kabağı dilimleyip şekerle 2 saat bekletin. || 2. Kabağı kısık ateşte 45-50 dakika pişirin. || 3. Soğuyunca tahin ve cevizle servis edin.,3,"SUSAM,KUSUYEMIS","vegan,kis-tarifi,vejetaryen",Kabağı şekerle en az 2 saat bekletin; pişerken su ekleme ihtiyacı azalır.,Tahin ve cevizle servis edin.
kaburga-dolmasi,Kaburga Dolması,"Mardin kaburga dolması, iç pilavla doldurulmuş kuzu kaburganın uzun pişirilmiş bayram yemeğidir.",YEMEK,tr,HARD,60,180,240,8,620,Kuzu kaburga 2 kg | Pirinç 2 su bardağı | Badem 100 gr | Kuş üzümü 60 gr,4,"1. Pirinç, badem ve kuş üzümüyle iç pilav hazırlayın. || 2. Pilavı kaburganın içine doldurup dikin. || 3. Kapalı tencerede 3 saat pişirin.",3,KUSUYEMIS,misafir-sofrasi,,
kadayif-tatlisi,Kadayıf Tatlısı,"Tel kadayıf, ceviz ve şerbetle hazırlanan çıtır geleneksel tatlı.",TATLI,tr,MEDIUM,30,40,70,10,470,Tel kadayıf 500 gr — Tatlı için | Tereyağı 200 gr — Tatlı için | Ceviz 1.5 su bardağı — Tatlı için | Şeker 3 su bardağı — Şerbet için | Su 3 su bardağı — Şerbet için | Limon suyu 1 tatlı kaşığı — Şerbet için,6,"1. Şeker ve suyu 12 dakika kaynatıp limon suyunu ekleyin, şerbeti soğutun. || 2. Kadayıfı tereyağıyla harmanlayıp cevizle tepsiye bastırın. || 3. 180°C fırında 35-40 dakika pişirip soğuk şerbet dökün.",3,"GLUTEN,SUT,KUSUYEMIS","misafir-sofrasi,firinda,vejetaryen","Şerbet soğuk, kadayıf sıcak olmalı; tatlı çıtır kalır.",Kaymakla servis edin.
kagit-kebabi,Kağıt Kebabı,Dana eti ve sebzelerin yağlı kağıt paketinde kendi buharıyla piştiği ev kebabı.,YEMEK,tr,MEDIUM,25,60,85,5,420,Dana eti 700 gr | Patates 2 adet | Havuç 2 adet | Bezelye 1 su bardağı | Domates 2 adet | Zeytinyağı 4 yemek kaşığı | Defne yaprağı 2 adet,7,1. Dana etini zeytinyağında 8 dakika mühürleyin. || 2. Sebzeleri etle karıştırıp yağlı kağıt paketlerine paylaştırın. || 3. Paketleri 180°C fırında 55-60 dakika pişirin.,3,,"firinda,misafir-sofrasi",Kağıt paketleri sıkı kapatın; buhar dışarı kaçmaz ve et kurumaz.,Tane tane pilavla sıcak servis edin.
kai-jeow,Kai Jeow,"Tay usulü kai jeow, balık sosuyla çırpılmış yumurtanın kızgın yağda kabarık kızarmasıdır.",KAHVALTI,th,EASY,5,5,10,2,190,Yumurta 4 adet | Balık sosu 1 yemek kaşığı | Taze soğan 2 dal | Ayçiçek yağı 80 ml,4,"1. Yumurta, balık sosu ve taze soğanı çırpın. || 2. Kızgın yağa döküp kenarları kabarana kadar pişirin. || 3. Çevirip 2 dakika daha kızartın.",3,"YUMURTA,DENIZ_URUNLERI","pratik,30-dakika-alti",,Buharda pirinç ve biber sosu ile servis edin.
kai-yang,Kai Yang,"Tay sokak ızgaralarının limon otlu tavuğu, dışı kızarmış ama içi sulu kalan bir marineyle hazırlanır.",YEMEK,th,MEDIUM,20,25,45,4,322,Tavuk but 800 gr | Soya sosu 3 yemek kaşığı — Marine için | Bal 1 yemek kaşığı — Marine için | Limon otu 1 dal — Marine için | Sarımsak 2 diş — Marine için,5,"1. Soya sosu, bal, ince kıyılmış limon otu ve sarımsağı karıştırıp tavuğu marine edin. || 2. Marine edilmiş tavuğu 15 dakika dinlendirin. || 3. Izgarada ya da döküm tavada her yüzünü 10-12 dakika pişirin.",3,SOYA,"yuksek-protein,misafir-sofrasi",Tavuğu marine ettikten sonra oda sıcaklığında 15 dakika bekletmek ızgarada daha dengeli pişmesini sağlar.,Yanına yapışkan pirinç ve tatlı acı sos koyarak servis edin.
kakaolu-enerji-lokmalari,Kakaolu Enerji Lokmaları,"Hurma, yulaf ve kakao kısa sürede yoğun bir ara öğün lokmasına dönüşür.",ATISTIRMALIK,tr,EASY,15,0,15,12,160,Hurma 200 gr | Yulaf 120 gr | Kakao 2 yemek kaşığı | Fındık 80 gr | Kokos rendesi 40 gr,5,"1. Hurma, yulaf, kakao ve fındığı rondodan geçirin. || 2. Karışımdan 12 lokma yuvarlayın. || 3. Kokos rendesine bulayıp 20 dakika soğutun.",3,"GLUTEN,KUSUYEMIS","vegan,30-dakika-alti,vejetaryen",Karışım elde sıkışınca dağılmıyorsa yuvarlamaya hazırdır.,Buzdolabında soğuk saklayın.
kakaolu-muzlu-protein-shake,Kakaolu Muzlu Protein Shake,"Kakaolu muzlu protein shake, spor sonrası toparlanmaya uygun yoğun ama rahat içilen tatlı bir bardaktır.",ICECEK,us,EASY,7,0,7,2,266,Muz 1 adet | Süt 300 ml | Kakao 1 yemek kaşığı | Protein tozu 1 ölçek,4,1. Muzu dilimleyin. || 2. Tüm malzemeyi blendera alın. || 3. Karışımı 40 saniye çekip soğuk servis edin.,3,SUT,"alkolsuz,yuksek-protein,vejetaryen","Kakaoyu önce sütle açmak, tozun kapağa yapışmasını azaltır.",Üzerine ince muz dilimleri koyarak servis edin.
